TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
26 junio 2023 13:58 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,66,58.4070,66,58.4070,0,24721,16980,68.6865

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19869,"Alta Verapaz",16,"Cahabón",12,3048,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19870,"Alta Verapaz",16,"Cahabón",12,3048,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19871,"Alta Verapaz",16,"Cahabón",12,3048,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19872,"Alta Verapaz",16,"Cahabón",12,3049,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19873,"Alta Verapaz",16,"Cahabón",12,3049,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19874,"Alta Verapaz",16,"Cahabón",12,3049,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19875,"Alta Verapaz",16,"Cahabón",12,3050,400,6,2,101,8,0,27,64,4,0,0,41,1,1,0,39,0,1,1,296,17,15,328,0,328,--,400,72,296,328,328,Algún campo sin dato,1,412f0962629a6cce82034865b54357748bfbfdb69ac8b066bee238aa4ad09280,26/06/2023 06:53:50,ESCANER
19876,"Alta Verapaz",16,"Cahabón",12,3051,400,3,4,88,10,2,13,78,0,2,0,35,5,3,2,33,0,1,1,280,20,10,310,0,310,--,400,90,280,310,310,Algún campo sin dato,1,c2694469fb61174bf108b47213b5b6cd8c4344cc7b40d90235ca2b95d8d8c4ff,26/06/2023 04:24:34,ESCANER
19877,"Alta Verapaz",16,"Cahabón",12,3051,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19878,"Alta Verapaz",16,"Cahabón",12,3051,400,7,5,56,3,1,20,126,0,0,1,18,3,2,0,22,1,2,0,267,15,7,289,0,289,--,400,111,267,289,289,Algún campo sin dato,1,eeb0a59e575fe411880e8c265e2cf284b7dd21f9ece55890fa2fd0e795f626e2,26/06/2023 04:33:56,ESCANER
19879,"Alta Verapaz",16,"Cahabón",12,3051,400,3,3,77,6,0,22,68,0,0,0,38,1,2,1,42,0,0,0,263,5,3,271,0,271,0,400,129,263,271,271,,1,7c74879a7b17c1d9c1016a646cdb37e01747c9ac7c14e8eefc80a29ef0b9f858,26/06/2023 06:34:08,ESCANER
19880,"Alta Verapaz",16,"Cahabón",12,3051,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19881,"Alta Verapaz",16,"Cahabón",12,3051,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19882,"Alta Verapaz",16,"Cahabón",12,3052,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19883,"Alta Verapaz",16,"Cahabón",12,3052,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19884,"Alta Verapaz",16,"Cahabón",12,3053,400,4,2,78,5,0,10,67,0,0,1,33,3,4,0,38,0,2,1,248,9,6,263,0,263,--,400,137,248,263,263,Algún campo sin dato,1,06840f46861203eb35f15dab3c7f448fdc50bba9debf03ea0b6601a068e27f5d,26/06/2023 06:55:07,ESCANER
19885,"Alta Verapaz",16,"Cahabón",12,3054,400,7,4,82,2,0,6,60,0,0,1,31,1,3,0,34,0,0,0,231,8,3,242,0,242,--,400,158,231,242,242,Algún campo sin dato,1,1a437539eb471ef98571f21ab525d56f2f391033add12ebbb86fec446c1081d8,26/06/2023 03:12:42,ESCANER
19886,"Alta Verapaz",16,"Cahabón",12,3054,400,3,2,121,5,0,6,52,0,1,0,18,2,6,0,32,0,0,0,248,5,3,256,0,256,--,400,144,248,256,256,Algún campo sin dato,1,789c1e9a9ff563bcac6d8531b42c16ab1e880f76cce05c1c3286ba88fbe4cf49,26/06/2023 04:32:08,ESCANER
19887,"Alta Verapaz",16,"Cahabón",12,3055,400,3,3,76,2,0,8,67,0,0,0,24,1,2,0,27,0,0,0,213,3,2,218,1,219,0,400,181,213,218,219,,1,e9a83dc09769133058adc2551d9b13c96a6565b17cc0a50d60cac48f6a2795c5,26/06/2023 00:42:02,ESCANER
19888,"Alta Verapaz",16,"Cahabón",12,3055,400,4,3,69,4,1,10,44,1,0,0,19,4,3,1,27,0,0,0,190,3,0,193,0,193,--,400,207,190,193,193,Algún campo sin dato,1,4efa0c61ff165063d85e67a8599a33cde46379ca98df54f6ddc0f44eacab9772,26/06/2023 03:19:21,ESCANER
19889,"Alta Verapaz",16,"Cahabón",12,3056,400,1,4,62,1,0,12,42,1,0,0,8,8,2,0,39,0,1,0,181,0,4,185,0,185,--,400,215,181,185,185,Algún campo sin dato,1,a59c5c0d7f2b4380c66fd51ccbfcc70a4178a61c7543211036a72087094d54e5,26/06/2023 06:37:44,ESCANER
19890,"Alta Verapaz",16,"Cahabón",12,3056,400,5,4,73,8,0,9,52,0,0,1,31,2,6,2,25,0,0,0,218,1,1,220,0,220,--,400,180,218,220,220,Algún campo sin dato,1,fa880c8747e0f9ef0cb6d2a404866f0b6ccb02607d3ed77f6cb6a7dee4a52b61,26/06/2023 04:38:26,ESCANER
19891,"Alta Verapaz",16,"Cahabón",12,3057,400,5,1,88,3,1,21,52,0,0,0,23,0,0,1,28,0,0,0,223,3,3,229,1,230,1,400,170,223,229,230,,1,4c9cf3d571d20ed231ca227e4c4bbd1b141a09fb84f49299d8a448f5f379627f,26/06/2023 02:00:17,ESCANER
19892,"Alta Verapaz",16,"Cahabón",12,3057,400,2,1,52,5,0,17,47,0,0,0,14,0,1,0,17,0,0,0,156,3,3,162,1,163,--,400,237,156,162,163,Algún campo sin dato,1,c4a19c414fe89e06d99a035a4998584cf9c8be06a063ada6e0d8afd67873829e,26/06/2023 01:58:26,ESCANER
19893,"Alta Verapaz",16,"Cahabón",12,3058,400,4,2,58,2,0,7,53,0,0,1,27,3,1,0,21,0,0,0,179,1,2,182,0,182,--,400,218,179,182,182,Algún campo sin dato,1,ded75dd11e6fd3fbddfdc5458d5e3211444749eef45023ba1ac9f3154a951268,26/06/2023 01:15:17,ESCANER
19894,"Alta Verapaz",16,"Cahabón",12,3058,369,3,0,54,4,0,10,46,0,0,0,31,0,1,0,26,0,0,0,175,3,1,179,0,179,--,369,190,175,179,179,Algún campo sin dato,1,ca1ed4b9268a177633e725ced70fa70f3819decb1e7f0975edd5eb79d1d8efa0,26/06/2023 00:43:47,ESCANER
19895,"Alta Verapaz",16,"Cahabón",12,3059,369,3,2,55,2,0,3,50,1,0,1,18,3,2,0,18,0,1,0,159,6,7,172,0,172,--,366,194,159,172,172,Algún campo sin dato,1,a58716c25f971384aa90786c25daf11670ffc328db9eb6368e3594e4e812c66d,26/06/2023 00:03:11,ESCANER
19896,"Alta Verapaz",16,"Cahabón",12,3060,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19897,"Alta Verapaz",16,"Cahabón",12,3060,400,3,7,65,28,1,27,59,0,0,0,53,1,3,0,27,0,2,2,278,20,14,312,0,312,0,400,88,278,312,312,,1,d2a3ad2b6f64a1e5c35ed5ee3ec463d5c04657b06e05bb1056c0bbaff7c1612d,26/06/2023 03:21:46,ESCANER
19898,"Alta Verapaz",16,"Cahabón",12,3060,400,7,14,100,25,0,4,82,1,1,0,37,3,2,2,32,0,0,1,311,22,6,339,0,339,--,400,61,311,339,339,Algún campo sin dato,1,33dcb5f82188b21215c7d235a98605ec86b2b712ce88b5a7b1a37fabaeb0d978,26/06/2023 05:00:54,ESCANER
19899,"Alta Verapaz",16,"Cahabón",12,3060,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19900,"Alta Verapaz",16,"Cahabón",12,3060,400,5,8,64,22,0,10,67,1,0,1,85,1,3,0,36,0,0,0,303,13,6,322,0,322,--,400,78,303,322,322,Algún campo sin dato,1,c58b6175057b85b7058523469ab4c6a44c5654e88f93c99018bd9ca2c751008a,26/06/2023 03:06:24,ESCANER
19901,"Alta Verapaz",16,"Cahabón",12,3060,400,3,3,90,16,0,11,121,0,0,0,44,1,3,2,25,0,0,4,323,8,5,336,0,336,--,--,--,323,336,336,Algún campo sin dato,1,510922de152a3d8d11d381d7d689e4f267954a78f57c9dabc57547c63506b35b,26/06/2023 04:32:57,ESCANER
19902,"Alta Verapaz",16,"Cahabón",12,3061,400,4,3,82,19,0,16,65,0,0,0,45,2,3,0,39,0,0,0,278,8,2,288,0,288,--,400,112,278,288,288,Algún campo sin dato,1,824a4b2e5f9134f75a4ca102ca644ed611f66323108baf3d914e76d5d7b309e8,26/06/2023 02:08:52,ESCANER
19903,"Alta Verapaz",16,"Cahabón",12,3061,400,3,7,61,19,0,9,60,0,0,0,45,1,1,0,31,0,0,0,237,12,4,253,0,253,--,400,147,237,253,253,Algún campo sin dato,1,736447b2466b9da632be3322ebe66d96447a79c6d569afd0b99153ff53824c5c,26/06/2023 02:16:27,ESCANER
